Solver,N,Iterations,Time_s,L2_Error,Linf_Error
RB SOR,15,73,3.120000e-04,2.959522e-13,6.311340e-13
RB SOR,31,150,9.520000e-04,1.570604e-13,3.274325e-13
RB SOR,63,307,3.266000e-03,8.338946e-14,1.708772e-13
RB SOR,127,628,1.227700e-02,4.320438e-14,8.752721e-14
RB SOR,255,1284,5.411000e-02,2.222266e-14,4.470035e-14
RB SOR,511,2637,2.830940e-01,9.907309e-15,1.986605e-14
"MG(v, nu=3, w=1.25)",15,7,2.840000e-04,5.835007e-13,8.636633e-13
"MG(v, nu=3, w=1.25)",31,8,6.390000e-04,4.512827e-14,6.337986e-14
"MG(v, nu=3, w=1.25)",63,8,9.890000e-04,6.157987e-14,8.669801e-14
"MG(v, nu=3, w=1.25)",127,9,1.529000e-03,2.680353e-15,3.627307e-15
"MG(v, nu=3, w=1.25)",255,9,5.494000e-03,2.829886e-15,4.048845e-15
"MG(v, nu=3, w=1.25)",511,9,9.650000e-03,2.382088e-15,7.369105e-15
"MG(v, nu=3, w=auto)",15,14,5.920000e-04,1.141400e-13,2.529990e-13
"MG(v, nu=3, w=auto)",31,26,1.954000e-03,1.183687e-13,2.494741e-13
"MG(v, nu=3, w=auto)",63,48,5.872000e-03,7.194688e-14,1.686012e-13
"MG(v, nu=3, w=auto)",127,97,1.614700e-02,2.727173e-14,8.642392e-14
"MG(v, nu=3, w=auto)",255,100,3.184900e-02,4.829852e-09,1.912996e-08
"MG(v, nu=3, w=auto)",511,100,7.851100e-02,5.488838e-06,1.494571e-05
"MG(w, nu=3, w=1.25)",15,7,4.580000e-04,2.387038e-14,4.031497e-14
"MG(w, nu=3, w=1.25)",31,7,1.098000e-03,2.138314e-15,6.477457e-15
"MG(w, nu=3, w=1.25)",63,7,2.219000e-03,3.742522e-16,1.984524e-15
"MG(w, nu=3, w=1.25)",127,7,5.817000e-03,2.062439e-16,7.216450e-16
"MG(w, nu=3, w=1.25)",255,7,1.194500e-02,5.578832e-16,2.088607e-15
"MG(w, nu=3, w=1.25)",511,7,2.665800e-02,2.316502e-15,8.340550e-15
"MG(w, nu=3, w=auto)",15,12,7.550000e-04,1.850791e-13,4.230366e-13
"MG(w, nu=3, w=auto)",31,22,3.602000e-03,3.356927e-14,1.065259e-13
"MG(w, nu=3, w=auto)",63,44,1.426400e-02,3.142937e-15,1.283695e-14
"MG(w, nu=3, w=auto)",127,87,6.161700e-02,1.082251e-15,5.766221e-15
"MG(w, nu=3, w=auto)",255,100,1.571860e-01,1.975605e-11,1.306080e-10
"MG(w, nu=3, w=auto)",511,100,3.542510e-01,1.350724e-08,7.409264e-08
