dimension,case,mode,mode_key,cycle,coarse,omega,solver,backend,dtype,grid_size,iterations,residual_l2,error_l2,error_linf,time_ms,time_s,tol,max_iter,nu,converged,source
2,cosine,V-exact,v_exact,v,exact,1.25,mg,cuda,double,127,6,1.398957e-11,4.654896e-06,9.044184e-06,9.620000e-01,9.620000e-04,1.000000e-09,15,4,true,wrapper
2,cosine,V-exact,v_exact,v,exact,1.25,mg,cuda,double,159,6,2.404942e-11,2.979272e-06,5.790269e-06,1.566000e+00,1.566000e-03,1.000000e-09,15,4,true,wrapper
2,cosine,V-exact,v_exact,v,exact,1.25,mg,cuda,double,191,6,3.601782e-11,2.068991e-06,4.021334e-06,1.414000e+00,1.414000e-03,1.000000e-09,15,4,true,wrapper
2,cosine,V-exact,v_exact,v,exact,1.25,mg,cuda,double,255,6,6.485905e-11,1.163837e-06,2.262062e-06,1.505000e+00,1.505000e-03,1.000000e-09,15,4,true,wrapper
2,cosine,V-exact,v_exact,v,exact,1.25,mg,cuda,double,319,6,9.905107e-11,7.448642e-07,1.447659e-06,2.421000e+00,2.421000e-03,1.000000e-09,15,4,true,wrapper
2,cosine,V-exact,v_exact,v,exact,1.25,mg,cuda,double,383,6,1.377917e-10,5.172701e-07,1.005378e-06,1.727000e+00,1.727000e-03,1.000000e-09,15,4,true,wrapper
2,cosine,V-exact,v_exact,v,exact,1.25,mg,cuda,double,511,6,2.268952e-10,2.909662e-07,5.655294e-07,2.470000e+00,2.470000e-03,1.000000e-09,15,4,true,wrapper
2,cosine,V-exact,v_exact,v,exact,1.25,mg,cuda,double,639,6,3.296093e-10,1.862189e-07,3.619446e-07,4.088000e+00,4.088000e-03,1.000000e-09,15,4,true,wrapper
2,cosine,V-exact,v_exact,v,exact,1.25,mg,cuda,double,767,6,4.441510e-10,1.293189e-07,2.513476e-07,4.080000e+00,4.080000e-03,1.000000e-09,15,4,true,wrapper
2,cosine,V-exact,v_exact,v,exact,1.25,mg,cuda,double,1023,6,7.045127e-10,7.274200e-08,1.413846e-07,6.566000e+00,6.566000e-03,1.000000e-09,15,4,true,wrapper
2,cosine,V-exact,v_exact,v,exact,1.25,mg,cuda,double,1279,7,3.812097e-11,4.655491e-08,9.048651e-08,1.059500e+01,1.059500e-02,1.000000e-09,15,4,true,wrapper
2,cosine,V-exact,v_exact,v,exact,1.25,mg,cuda,double,1535,7,5.433084e-11,3.232981e-08,6.283793e-08,1.384000e+01,1.384000e-02,1.000000e-09,15,4,true,wrapper
