dimension,case,mode,mode_key,cycle,coarse,omega,solver,backend,dtype,grid_size,iterations,residual_l2,error_l2,error_linf,time_ms,time_s,tol,max_iter,nu,converged,source
2,cosine,V-exact,v_exact,v,exact,1.00,mg,cuda,double,4095,9,2.946482e-10,4.546324e-09,8.836493e-09,1.515470e+02,1.515470e-01,1.000000e-09,15,3,true,wrapper
2,cosine,V-exact,v_exact,v,exact,1.05,mg,cuda,double,4095,8,4.103808e-10,4.545714e-09,8.835239e-09,1.360300e+02,1.360300e-01,1.000000e-09,15,3,true,wrapper
2,cosine,V-exact,v_exact,v,exact,1.10,mg,cuda,double,4095,8,3.290797e-10,4.546381e-09,8.836628e-09,1.356800e+02,1.356800e-01,1.000000e-09,15,3,true,wrapper
2,cosine,V-exact,v_exact,v,exact,1.15,mg,cuda,double,4095,7,3.509213e-10,4.546290e-09,8.836392e-09,1.237040e+02,1.237040e-01,1.000000e-09,15,3,true,wrapper
2,cosine,V-exact,v_exact,v,exact,1.20,mg,cuda,double,4095,7,3.619456e-10,4.546380e-09,8.836601e-09,1.276970e+02,1.276970e-01,1.000000e-09,15,3,true,wrapper
2,cosine,V-exact,v_exact,v,exact,1.25,mg,cuda,double,4095,8,3.862726e-10,4.546387e-09,8.836614e-09,1.352950e+02,1.352950e-01,1.000000e-09,15,3,true,wrapper
2,cosine,V-exact,v_exact,v,exact,1.30,mg,cuda,double,4095,8,8.814540e-10,4.546421e-09,8.836675e-09,1.397660e+02,1.397660e-01,1.000000e-09,15,3,true,wrapper
2,cosine,V-exact,v_exact,v,exact,1.35,mg,cuda,double,4095,9,6.155965e-10,4.546369e-09,8.836599e-09,1.512190e+02,1.512190e-01,1.000000e-09,15,3,true,wrapper
2,cosine,V-exact,v_exact,v,exact,1.40,mg,cuda,double,4095,10,5.489325e-10,4.546368e-09,8.836573e-09,1.647850e+02,1.647850e-01,1.000000e-09,15,3,true,wrapper
2,cosine,V-exact,v_exact,v,exact,1.45,mg,cuda,double,4095,11,5.472850e-10,4.546391e-09,8.836614e-09,1.713320e+02,1.713320e-01,1.000000e-09,15,3,true,wrapper
2,cosine,V-exact,v_exact,v,exact,1.50,mg,cuda,double,4095,12,6.461324e-10,4.546381e-09,8.836588e-09,1.848980e+02,1.848980e-01,1.000000e-09,15,3,true,wrapper
2,cosine,V-SOR,v_sor,v,sor,1.00,mg,cuda,double,4095,9,2.946904e-10,4.546322e-09,8.836493e-09,1.511130e+02,1.511130e-01,1.000000e-09,15,3,true,wrapper
2,cosine,V-SOR,v_sor,v,sor,1.05,mg,cuda,double,4095,8,4.107593e-10,4.545724e-09,8.835235e-09,1.387160e+02,1.387160e-01,1.000000e-09,15,3,true,wrapper
2,cosine,V-SOR,v_sor,v,sor,1.10,mg,cuda,double,4095,8,3.288861e-10,4.546388e-09,8.836658e-09,1.350370e+02,1.350370e-01,1.000000e-09,15,3,true,wrapper
2,cosine,V-SOR,v_sor,v,sor,1.15,mg,cuda,double,4095,7,3.511798e-10,4.546301e-09,8.836406e-09,1.244720e+02,1.244720e-01,1.000000e-09,15,3,true,wrapper
2,cosine,V-SOR,v_sor,v,sor,1.20,mg,cuda,double,4095,7,3.619117e-10,4.546386e-09,8.836609e-09,1.256500e+02,1.256500e-01,1.000000e-09,15,3,true,wrapper
2,cosine,V-SOR,v_sor,v,sor,1.25,mg,cuda,double,4095,8,3.863270e-10,4.546375e-09,8.836621e-09,1.296140e+02,1.296140e-01,1.000000e-09,15,3,true,wrapper
2,cosine,V-SOR,v_sor,v,sor,1.30,mg,cuda,double,4095,8,8.812511e-10,4.546426e-09,8.836685e-09,1.378540e+02,1.378540e-01,1.000000e-09,15,3,true,wrapper
2,cosine,V-SOR,v_sor,v,sor,1.35,mg,cuda,double,4095,9,6.159081e-10,4.546365e-09,8.836583e-09,1.589520e+02,1.589520e-01,1.000000e-09,15,3,true,wrapper
2,cosine,V-SOR,v_sor,v,sor,1.40,mg,cuda,double,4095,10,5.491625e-10,4.546368e-09,8.836584e-09,1.603500e+02,1.603500e-01,1.000000e-09,15,3,true,wrapper
2,cosine,V-SOR,v_sor,v,sor,1.45,mg,cuda,double,4095,11,5.472437e-10,4.546392e-09,8.836631e-09,1.742970e+02,1.742970e-01,1.000000e-09,15,3,true,wrapper
2,cosine,V-SOR,v_sor,v,sor,1.50,mg,cuda,double,4095,12,6.460725e-10,4.546376e-09,8.836608e-09,1.828700e+02,1.828700e-01,1.000000e-09,15,3,true,wrapper
2,cosine,W-exact,w_exact,w,exact,1.00,mg,cuda,double,4095,8,3.091421e-10,4.546381e-09,8.836616e-09,3.712550e+02,3.712550e-01,1.000000e-09,15,3,true,wrapper
2,cosine,W-exact,w_exact,w,exact,1.05,mg,cuda,double,4095,7,8.565928e-10,4.546372e-09,8.836590e-09,3.302790e+02,3.302790e-01,1.000000e-09,15,3,true,wrapper
2,cosine,W-exact,w_exact,w,exact,1.10,mg,cuda,double,4095,7,3.399859e-10,4.546388e-09,8.836610e-09,3.314560e+02,3.314560e-01,1.000000e-09,15,3,true,wrapper
2,cosine,W-exact,w_exact,w,exact,1.15,mg,cuda,double,4095,6,5.262456e-10,4.546410e-09,8.836653e-09,2.847890e+02,2.847890e-01,1.000000e-09,15,3,true,wrapper
2,cosine,W-exact,w_exact,w,exact,1.20,mg,cuda,double,4095,6,6.669340e-10,4.546380e-09,8.836629e-09,2.902480e+02,2.902480e-01,1.000000e-09,15,3,true,wrapper
2,cosine,W-exact,w_exact,w,exact,1.25,mg,cuda,double,4095,7,4.882064e-10,4.546383e-09,8.836601e-09,3.293570e+02,3.293570e-01,1.000000e-09,15,3,true,wrapper
2,cosine,W-exact,w_exact,w,exact,1.30,mg,cuda,double,4095,8,4.203681e-10,4.546431e-09,8.836684e-09,3.690880e+02,3.690880e-01,1.000000e-09,15,3,true,wrapper
2,cosine,W-exact,w_exact,w,exact,1.35,mg,cuda,double,4095,9,4.340201e-10,4.546362e-09,8.836555e-09,4.231220e+02,4.231220e-01,1.000000e-09,15,3,true,wrapper
2,cosine,W-exact,w_exact,w,exact,1.40,mg,cuda,double,4095,9,7.330000e-10,4.546365e-09,8.836573e-09,4.076890e+02,4.076890e-01,1.000000e-09,15,3,true,wrapper
2,cosine,W-exact,w_exact,w,exact,1.45,mg,cuda,double,4095,10,5.500149e-10,4.546383e-09,8.836595e-09,4.470180e+02,4.470180e-01,1.000000e-09,15,3,true,wrapper
2,cosine,W-exact,w_exact,w,exact,1.50,mg,cuda,double,4095,11,5.904492e-10,4.546386e-09,8.836599e-09,4.868880e+02,4.868880e-01,1.000000e-09,15,3,true,wrapper
2,cosine,W-SOR,w_sor,w,sor,1.00,mg,cuda,double,4095,8,3.089707e-10,4.546380e-09,8.836624e-09,2.785470e+02,2.785470e-01,1.000000e-09,15,3,true,wrapper
2,cosine,W-SOR,w_sor,w,sor,1.05,mg,cuda,double,4095,7,8.564578e-10,4.546377e-09,8.836584e-09,2.497190e+02,2.497190e-01,1.000000e-09,15,3,true,wrapper
2,cosine,W-SOR,w_sor,w,sor,1.10,mg,cuda,double,4095,7,3.398815e-10,4.546384e-09,8.836615e-09,2.497820e+02,2.497820e-01,1.000000e-09,15,3,true,wrapper
2,cosine,W-SOR,w_sor,w,sor,1.15,mg,cuda,double,4095,6,5.262691e-10,4.546417e-09,8.836668e-09,2.199790e+02,2.199790e-01,1.000000e-09,15,3,true,wrapper
