Solver,N,Iterations,Time_s,L2_Error,Linf_Error
RB SOR,15,36,1.570000e-04,5.464697e-05,1.005106e-04
RB SOR,31,75,3.980000e-04,6.609729e-06,1.877116e-05
RB SOR,63,50000,3.920000e-01,3.974895e-06,1.068008e-05
RB SOR,127,50000,5.067750e-01,1.435946e-05,3.394727e-05
RB SOR,255,50000,1.653238e+00,5.082426e-05,1.354301e-04
RB SOR,511,50000,5.326618e+00,1.198192e-05,4.064590e-05
"MG(v, nu=3, w=1.25)",15,4,1.970000e-04,7.529093e-05,1.380801e-04
"MG(v, nu=3, w=1.25)",31,4,2.820000e-04,1.650045e-05,3.296126e-05
"MG(v, nu=3, w=1.25)",63,4,3.820000e-04,5.009155e-06,1.282861e-05
"MG(v, nu=3, w=1.25)",127,100,1.485800e-02,8.273404e-06,2.322112e-05
"MG(v, nu=3, w=1.25)",255,100,2.803300e-02,6.669620e-06,2.488417e-05
"MG(v, nu=3, w=1.25)",511,100,6.493400e-02,2.184644e-05,7.957022e-05
"MG(v, nu=3, w=auto)",15,6,3.780000e-04,4.857361e-05,1.008226e-04
"MG(v, nu=3, w=auto)",31,12,8.560000e-04,8.308081e-06,2.426819e-05
"MG(v, nu=3, w=auto)",63,100,9.946000e-03,4.523203e-06,1.261328e-05
"MG(v, nu=3, w=auto)",127,100,1.491900e-02,7.181737e-06,2.149337e-05
"MG(v, nu=3, w=auto)",255,100,2.512000e-02,1.391618e-05,5.113759e-05
"MG(v, nu=3, w=auto)",511,100,6.298000e-02,3.101249e-03,1.352985e-02
"MG(w, nu=3, w=1.25)",15,3,1.870000e-04,6.191756e-05,1.288985e-04
"MG(w, nu=3, w=1.25)",31,4,5.740000e-04,1.977255e-05,3.639213e-05
"MG(w, nu=3, w=1.25)",63,4,1.293000e-03,7.246639e-06,1.595114e-05
"MG(w, nu=3, w=1.25)",127,100,6.826400e-02,5.693225e-06,1.982632e-05
"MG(w, nu=3, w=1.25)",255,100,1.436980e-01,8.608710e-06,2.790182e-05
"MG(w, nu=3, w=1.25)",511,100,3.250360e-01,2.119552e-05,7.222392e-05
"MG(w, nu=3, w=auto)",15,6,4.530000e-04,7.170273e-05,1.261591e-04
"MG(w, nu=3, w=auto)",31,11,1.622000e-03,2.029971e-05,4.356669e-05
"MG(w, nu=3, w=auto)",63,100,3.140100e-02,3.461219e-06,9.274852e-06
"MG(w, nu=3, w=auto)",127,100,6.762700e-02,3.500070e-06,1.406136e-05
"MG(w, nu=3, w=auto)",255,100,1.417070e-01,9.110848e-06,3.434063e-05
"MG(w, nu=3, w=auto)",511,100,3.275170e-01,7.948328e-05,5.647283e-04
